Дата продажи,Название курса,Цена$,Кол-во,Всего
"Jan 01, 2023",Python нач,50,18.0,900
01.01.23,DS Boot,200,10.0,2000
"Jan 01, 2023",Web-разработка,80,16.0,1280
01/01/2023,Machine Learning ADV,250,11.0,2750
2023-01-01,SQL БАЗОВЫЙ,60,13.0,780
"Jan 02, 2023",Python For Beginners,50,12.0,600
2023-01-02,data science bootcamp,200,12.0,2400
2023-01-02,Web-разработка,80,19.0,1520
2023-01-02,Machine Learning ADV,250,16.0,4000
02/01/2023,Быстрый курс SQL,60,11.0,660
2023/01/03,Python нач,50,13.0,650
"Jan 03, 2023",Data Science BOOTCAMP,200,14.0,2800
2023/01/03,Web Dev 101,80,12.0,960
"Jan 03, 2023",Продвинутый ML,250,15.0,3750
2023/01/03,SQL БАЗОВЫЙ,60,9.0,540
"Jan 04, 2023",Питон для начинающих,50,13.0,650
2023/01/04,Данные.Наука,200,19.0,3800
"Jan 04, 2023",Web-разработка,80,15.0,1200
04/01/2023,machine learning advanced,250,90.0,22500
2023/01/04,sql-cc,60,19.0,1140
"Jan 05, 2023",Python нач,50,,900
"Jan 05, 2023",DS Boot,200,16.0,3200
05.01.23,веб разработка,80,13.0,1040
"Jan 05, 2023",machine learning advanced,250,15.0,3750
"Jan 05, 2023",SQL-Курс,60,18.0,1080
2023-01-06,Питон для начинающих,50,15.0,750
2023-01-06,data science bootcamp,200,13.0,2600
2023-01-06,WEB DEVELOPMENT,80,12.0,960
"Jan 06, 2023",ML (уровень 2),250,12.0,3000
06/01/2023,sql-cc,60,19.0,1140
"Jan 07, 2023",Python For Beginners,50,19.0,950
07.01.23,Данные.Наука,200,15.0,3000
"Jan 07, 2023",Web-разработка,80,13.0,1040
2023/01/07,Machine Learning ADV,250,14.0,3500
2023-01-07,sql-cc,60,14.0,840
2023-01-08,python for beginners,50,,650
08.01.23,Данные.Наука,200,25.0,5000
2023-01-08,Web Dev 101,80,13.0,1040
"Jan 08, 2023",machine learning advanced,250,16.0,4000
08.01.23,Быстрый курс SQL,60,12.0,720
2023/01/09,python for beginners,50,17.0,850
2023-01-09,Data Science BOOTCAMP,200,18.0,3600
2023-01-09,Web-разработка,80,17.0,1360
2023/01/09,machine learning advanced,250,19.0,4750
2023/01/09,SQL-Курс,60,17.0,1020
10.01.23,Python For Beginners,50,11.0,550
2023/01/10,Данные.Наука,200,17.0,3400
10/01/2023,web_dev,80,10.0,800
