last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,days_exposition
13000000.0,108.0,2024-05-15,3,2.7,16.0,51.0,8,,False,False,25.0,,Kyiv,
3350000.0,40.4,2024-08-14,1,,11.0,18.6,1,,False,False,11.0,2.0,Brovary,81.0
5196000.0,56.0,2023-11-06,2,,5.0,34.3,4,,False,False,8.3,0.0,Kyiv,558.0
64900000.0,159.0,2024-03-19,3,,14.0,,9,,False,False,,0.0,Kyiv,424.0
10000000.0,100.0,2024-06-12,2,3.03,14.0,32.0,13,,False,False,41.0,,Kyiv,121.0
2890000.0,30.4,2024-10-08,1,,12.0,14.4,5,,False,False,9.1,,Boyarka,55.0
3700000.0,37.3,2024-03-24,1,,26.0,10.6,6,,False,False,14.4,1.0,Hostomel,155.0
7915000.0,71.6,2024-11-16,2,,24.0,,22,,False,False,18.9,2.0,Kyiv,
2900000.0,33.16,2024-03-09,1,,27.0,15.43,26,,False,False,8.81,,Bucha,189.00000000000003
5400000.0,61.0,2024-03-10,3,2.5,9.0,43.6,7,,False,False,6.5,2.0,Kyiv,289.0
5050000.0,39.6,2024-04-15,1,2.67,12.0,20.3,3,,False,False,8.5,,Kyiv,137.0
3300000.0,44.0,2024-05-22,2,,5.0,31.0,4,False,False,False,6.0,1.0,Boryspil,7.0
3890000.0,54.0,2023-12-27,2,,5.0,30.0,5,,False,False,9.0,0.0,Irpin,90.00000000000001
3550000.0,42.8,2024-05-16,2,2.56,5.0,27.0,5,,False,False,5.2,1.0,Vyshneve,366.00000000000006
4400000.0,36.0,2024-04-07,1,,6.0,17.0,1,,False,False,8.0,0.0,Hostomel,203.0
4650000.0,39.0,2023-12-28,1,,14.0,20.5,5,,False,False,7.6,1.0,Kyiv,19.0
6700000.0,82.0,2024-04-15,3,3.05,5.0,55.6,1,,False,False,9.0,,Kyiv,397.0
4180000.0,36.0,2023-10-24,1,,17.0,16.5,7,,False,False,11.0,1.0,Kyiv,571.0
3250000.0,31.0,2023-09-04,1,2.5,5.0,19.4,2,,False,False,5.6,1.0,Kyiv,168.0
14200000.0,121.0,2023-10-02,3,2.75,16.0,76.0,8,,False,False,12.0,,Kyiv,97.0
6120000.0,80.0,2023-11-23,3,2.7,27.0,48.0,11,,False,False,12.0,2.0,Hostomel,74.0
3200000.0,31.6,2023-05-29,1,,5.0,16.9,2,,False,False,5.7,1.0,Kyiv,310.0
5000000.0,58.0,2024-03-04,2,2.75,25.0,30.0,15,,False,False,11.0,2.0,Irpin,60.0
2950000.0,32.0,2023-09-10,1,2.6,9.0,17.7,9,,False,False,6.1,,Kyiv,615.0
6500000.0,97.2,2023-06-13,2,,3.0,46.5,1,,False,False,19.6,0.0,Kyiv,265.0
6800000.0,76.0,2024-02-09,2,2.75,23.0,39.0,18,False,False,False,15.0,2.0,Kyiv,300.0
4050000.0,60.0,2023-12-16,4,,5.0,43.0,4,,False,False,7.0,,Kyiv,265.0
7100000.0,70.0,2023-10-08,3,2.6,17.0,49.0,11,,False,False,9.2,0.0,Kyiv,151.0
4170000.0,44.0,2023-12-16,1,2.9,6.0,20.8,1,,False,False,11.7,1.0,Irpin,74.0
8600000.0,100.0,2024-02-06,3,,19.0,52.0,15,False,False,False,11.0,0.0,Kyiv,125.0
2200000.0,32.8,2023-12-20,1,,9.0,,2,,False,False,,,Hostomel,63.0
7200000.0,67.9,2024-09-02,2,2.8,16.0,38.1,4,,False,False,13.4,2.0,Kyiv,112.0
4990000.0,60.0,2023-12-22,3,,5.0,39.0,4,,False,False,6.0,0.0,Kyiv,224.0
